Provience,City,CompanyShortName,IndustryField,Upper class of industry
江苏,南京市,南京睿辰欣创网络科技股份有限公司,数据服务 · 分类信息,IT技术
江苏,南京市,宁波海大物联科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,南京豆果网络科技有限公司,金融 · 数据服务,"IT技术,金融财经"
江苏,南京市,上海华腾软件系统有限公司,金融,金融财经
江苏,南京市,南京贝贝云网络科技有限公司,移动互联网,IT技术
江苏,南京市,上海统创投资管理有限公司,企业服务 · 金融,"IT技术,金融财经"
江苏,南京市,宁波新希望信息技术有限公司,企业服务 · 生活服务,"IT技术,生活服务"
江苏,南京市,南京鸿美信息技术有限公司,企业服务,IT技术
江苏,南京市,imo易睦网络科技有限公司,移动互联网,IT技术
江苏,南京市,江苏万圣伟业网络科技有限公司,移动互联网,IT技术
江苏,南京市,上海点客信息技术股份有限公司南京分公司,移动互联网 · 社交网络,IT技术
江苏,南京市,南京庐瓜网络科技有限公司,企业服务,IT技术
江苏,南京市,上海兴容通信技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京户传软件技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,迪原创新（北京）科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,长沙创居网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,卓望信息技术（北京）有限公司,移动互联网,IT技术
江苏,南京市,南京派斯电子商务有限公司,电子商务,IT技术
江苏,南京市,江苏易汇资产投资管理有限公司,金融,金融财经
江苏,南京市,南京路特软件有限公司,移动互联网,IT技术
江苏,南京市,天津市基理科技有限公司,电子商务 · 企业服务,IT技术
江苏,南京市,北京北斗星通导航技术股份有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,上海至臻信息科技有限公司,移动互联网 · 其他,IT技术
江苏,南京市,上海米么金融信息服务有限公司,移动互联网 · 金融,"IT技术,金融财经"
江苏,南京市,江苏东大金智信息系统有限公司,移动互联网,IT技术
江苏,南京市,南京坤果信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京阿有料网络科技有限公司,电子商务 · O2O,IT技术
江苏,南京市,杭州三汇数字信息技术有限公司,移动互联网,IT技术
江苏,南京市,南京美任文化传播有限公司,游戏 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,北京创景咨询有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,物联传感技术有限公司,电子商务 · O2O,IT技术
江苏,南京市,深圳市中兴云服务有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京宏企在线网络科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,北京金万维科技有限公司,企业服务,IT技术
江苏,南京市,北京恒昌汇财投资管理有限公司南京第四分公司,金融,金融财经
江苏,南京市,环融计算机科技,移动互联网,IT技术
江苏,南京市,杭州溢点信息技术有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京必拓狮网络科技有限公司,移动互联网,IT技术
江苏,南京市,江苏华康信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
江苏,南京市,深圳市云房网络科技有限公司,O2O,IT技术
江苏,南京市,深圳英迈思文化科技有限公司,电子商务 · 金融,"IT技术,金融财经"
江苏,南京市,上海剑川教育科技有限公司,教育,生活服务
江苏,南京市,南京枫煌中乾珠宝有限公司,电子商务,IT技术
江苏,南京市,南京青春信息科技有限公司,移动互联网,IT技术
江苏,南京市,北京云核网络技术有限公司,移动互联网,IT技术
江苏,南京市,南京鑫云汇业网络科技有限公司,金融,金融财经
江苏,南京市,深圳前海华视移动互联有限公司,移动互联网 · 文化娱乐,"IT技术,生活服务"
江苏,南京市,淮安亿度网络科技有限公司,移动互联网,IT技术
江苏,南京市,江苏润恒城信息技术有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,南京良码信息科技有限公司,移动互联网,IT技术
江苏,南京市,南京乐动迈天信息科技有限公司,O2O · 文化娱乐,"IT技术,生活服务"
江苏,南京市,北京大家网教育科技有限公司,移动互联网 · 教育,"IT技术,生活服务"
江苏,南京市,南京聚目堂数码科技有限公司,移动互联网,IT技术
江苏,南京市,江苏问源信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京美狐家网络科技有限公司,移动互联网 · 电子商务,IT技术
江苏,南京市,江苏宏坤供应链管理有限公司,移动互联网 · O2O,IT技术
江苏,南京市,江苏云信达信息系统有限公司,教育,生活服务
江苏,南京市,江苏品客信息科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,无锡聚云科技有限公司,数据服务,IT技术
江苏,南京市,上海千月网络科技有限公司,游戏,IT技术
江苏,南京市,南京云问网络技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,江苏海森堡信息科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京雷恒网络科技有限公司,电子商务,IT技术
江苏,南京市,深圳工作家网络科技有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,正益无线（北京）科技有限公司,移动互联网,IT技术
江苏,南京市,江苏百年软件科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,上海汇翼信息科技有限公司,移动互联网 · 企业服务,IT技术
江苏,南京市,上海多维度网络科技有限公司,移动互联网 · O2O,IT技术
江苏,南京市,南京灰烬之川信息科技有限公司,O2O · 移动互联网,IT技术
江苏,南京市,上海微臻通信技术有限公司,企业服务 · 数据服务,IT技术
江苏,南京市,南京西晴百合文化传播有限公司,移动互联网 · 游戏,IT技术
江苏,南京市,杭州恒镁电子科技有限公司,移动互联网,IT技术
江苏,南京市,北京众筹客网络技术有限公司,O2O · 金融,"IT技术,金融财经"
江苏,南京市,南京华盾电力信息安全测评有限公司,企业服务 · 其他,IT技术
江苏,南京市,苏宁云商集团股份有限公司,O2O,IT技术
江苏,南京市,上海盛域信息技术有限公司,移动互联网 · 数据服务,IT技术
江苏,南京市,南京陌上花网络科技有限公司,O2O · 数据服务,IT技术
江苏,南京市,南京卡米网络技术有限公司,移动互联网,IT技术
江苏,南京市,南京易优派企业管理咨询有限公司,招聘,生活服务
江苏,南京市,上海易点时空网络有限公司,移动互联网 · O2O,IT技术
江苏,南京市,河南开云信息技术有限公司,移动互联网 · 医疗健康,"IT技术,生活服务"
